Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
170,4024.1118,100.6028,0.60280573
171,4025.6504,100.64125,0.6412555
172,4024.6094,100.61525,0.6152424
173,4024.314,100.60784,0.6078503
174,4025.2083,100.63021,0.63021505
175,4026.1821,100.65456,0.65455306
176,4026.109,100.65274,0.6527382
177,4025.8997,100.647484,0.64747804
178,4024.9492,100.62373,0.62374055
179,4026.0425,100.65105,0.6510557
180,4025.9016,100.64755,0.64754707
181,4025.634,100.640854,0.64086366
182,4025.7856,100.64465,0.6446477
183,4026.8374,100.670944,0.6709384
184,4026.6724,100.66681,0.66681117
185,4025.734,100.64334,0.64334154
186,4026.4036,100.66008,0.66008747
187,4026.9438,100.6736,0.6736083
188,4027.2122,100.68029,0.6803029
189,4026.8875,100.67218,0.67218673
190,4027.1704,100.679245,0.67925215
191,4028.4097,100.71024,0.7102408
192,4027.2415,100.68104,0.6810398
193,4027.6296,100.69073,0.69073164
194,4027.7078,100.69269,0.6926948
195,4027.438,100.685936,0.68594426
196,4028.4155,100.71039,0.7103859
197,4027.7827,100.69458,0.694578
198,4029.7031,100.74256,0.742569
199,4028.2388,100.705956,0.705966
200,4026.1785,100.654465,0.6544631
201,4031.416,100.7854,0.78539777
202,4028.1875,100.70469,0.7046915
203,4029.903,100.747574,0.74757326
204,4030.6,100.764984,0.7649908
205,4027.8442,100.69612,0.6961125
206,4029.5122,100.73781,0.7378069
207,4031.259,100.78148,0.7814771
208,4027.6562,100.691414,0.69141155
209,4031.1042,100.77761,0.77760476
210,4029.1343,100.72837,0.7283738
211,4030.6184,100.76546,0.7654513
212,4030.478,100.761955,0.7619548
213,4030.9407,100.77351,0.77350825
214,4029.7407,100.743515,0.7435164
215,4029.7231,100.74309,0.74308836
216,4029.3293,100.73324,0.73323005
217,4032.2285,100.80571,0.8057132
218,4031.1016,100.77754,0.7775472
219,4032.2964,100.807396,0.8074029
220,4030.4543,100.76137,0.76136476
221,4033.5781,100.839455,0.8394536
222,4032.1577,100.80396,0.8039562
223,4032.8079,100.820206,0.82019776
224,4032.7454,100.818634,0.81862843
225,4033.3804,100.834526,0.83451825
226,4032.3325,100.80832,0.8083147
227,4032.7603,100.819016,0.8190017
228,4032.941,100.82354,0.82353497
229,4034.4038,100.86009,0.8601006
230,4033.1108,100.82778,0.82778186
231,4035.6719,100.8918,0.89179546
232,4034.0508,100.85127,0.85127896
233,4031.4058,100.78515,0.7851425
234,4035.118,100.87795,0.87794465
235,4036.8071,100.92019,0.9201824
236,4033.0273,100.82568,0.8256761
237,4034.0874,100.85219,0.85217506
238,4035.316,100.88291,0.88290215
239,4034.359,100.85898,0.8589721
240,4033.7798,100.8445,0.844497
241,4034.3093,100.85774,0.8577431
242,4035.6477,100.89119,0.891187
243,4035.2798,100.881996,0.88199776
244,4033.9968,100.84993,0.84992325
245,4038.9148,100.97288,0.97287285
246,4032.8276,100.8207,0.82069844
247,4035.4155,100.885376,0.88538456
248,4034.3198,100.85799,0.85799634
249,4034.4363,100.86091,0.8609072
250,4036.6797,100.917,0.91699743
251,4034.6855,100.86714,0.86713946
252,4037.9653,100.94913,0.9491316
253,4036.7122,100.91781,0.91780937
254,4036.7175,100.91794,0.91794956
255,4037.4648,100.93663,0.936621
256,4036.636,100.91591,0.9159056
257,4038.0813,100.95204,0.9520391
258,4039.6313,100.99077,0.99077386
259,4034.6555,100.8664,0.86638707
260,4038.166,100.95415,0.9541556
261,4037.8796,100.94701,0.94699335
262,4035.377,100.88443,0.8844342
263,4038.6055,100.96513,0.9651314
264,4040.3562,101.008896,1.0088952
265,4037.064,100.926605,0.92660856
266,4037.0105,100.92525,0.9252588
267,4039.4473,100.98619,0.9861964
268,4038.9285,100.973206,0.9732049
269,4038.056,100.9514,0.9514038
270,4038.9644,100.974106,0.97411835
271,4038.1504,100.95375,0.9537579
272,4041.714,101.04286,1.0428503
273,4038.7837,100.96959,0.96958894
274,4041.084,101.027084,1.0270967
275,4038.9614,100.974014,0.974016
276,4041.7388,101.04348,1.043472
277,4040.7175,101.01795,1.0179462
