Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
507,4010.24,100.256,0.2559967
510,4008.45,100.21125,0.2112503
513,4008.5095,100.21274,0.21273804
516,4002.8035,100.07008,0.07008362
519,4000.905,100.02263,0.022628784
522,4009.7563,100.243904,0.24390411
525,4007.3796,100.184494,0.18449402
528,4003.3215,100.08304,0.08303833
531,4008.604,100.2151,0.21510315
534,4001.0708,100.02677,0.026771545
537,4005.1821,100.129555,0.12955475
540,4006.9524,100.17381,0.17381287
543,4000.0693,100.00173,0.0017318726
546,4002.3462,100.058655,0.058654785
549,4000.5437,100.013596,0.013595581
552,4013.0298,100.325745,0.32574463
555,4014.1829,100.35457,0.35456848
558,4011.7832,100.29458,0.29457855
561,4002.1345,100.05336,0.053359985
564,4008.6943,100.21736,0.21736145
567,4007.394,100.18485,0.1848526
570,4004.7668,100.11917,0.11917114
573,4013.218,100.33045,0.33045197
576,4010.3352,100.258385,0.2583847
579,4005.299,100.13248,0.1324768
582,4010.4177,100.260445,0.26044464
585,4000.25,100.00625,0.006248474
588,4001.8835,100.04709,0.047088623
591,4007.137,100.17842,0.17842102
594,4004.7292,100.11823,0.11823273
597,4005.2546,100.13137,0.13137054
600,4001.2905,100.032265,0.03226471
603,4005.91,100.14775,0.14775085
606,4006.9731,100.17433,0.17433167
609,4009.5913,100.239784,0.23978424
612,4010.5642,100.2641,0.26409912
615,4000.9988,100.02497,0.024971008
618,4003.6125,100.09031,0.09030914
621,4010.6226,100.265564,0.26556396
624,4006.762,100.169044,0.1690445
627,4001.601,100.04002,0.040023804
630,4016.0156,100.40039,0.40039062
633,4010.2864,100.25716,0.25715637
636,4008.9922,100.22481,0.22480774
639,4007.6584,100.19146,0.19145966
642,4006.855,100.17137,0.17137146
645,4005.9868,100.14967,0.14967346
648,4003.5642,100.0891,0.0891037
651,4009.1045,100.22761,0.22760773
654,4001.3313,100.03328,0.03327942
657,4013.8862,100.34715,0.3471527
660,4015.6968,100.392426,0.39242554
663,4006.3608,100.15903,0.1590271
666,4003.089,100.077225,0.07722473
669,4004.7612,100.11903,0.11903381
672,4011.6096,100.290245,0.29024506
675,4005.1777,100.12945,0.12944794
678,4007.5237,100.188095,0.1880951
681,4005.9514,100.14879,0.14878845
684,4011.8076,100.29519,0.2951889
687,4008.2056,100.20514,0.20513916
690,4011.9836,100.29959,0.29959106
693,4009.8267,100.24567,0.2456665
696,4012.235,100.30588,0.3058777
699,4003.1519,100.0788,0.07879639
702,4005.0137,100.12534,0.12534332
705,4006.8066,100.170166,0.17016602
708,4014.3828,100.35957,0.35957336
711,4013.9988,100.34997,0.34996796
714,4011.0706,100.276764,0.27676392
717,4006.321,100.15802,0.15802002
720,4017.7722,100.444305,0.44430542
723,4006.095,100.152374,0.15237427
726,4019.2678,100.4817,0.48169708
729,4011.3123,100.28281,0.2828064
732,4000.706,100.01765,0.01764679
735,4016.6292,100.415726,0.4157257
738,4006.5356,100.16339,0.16339111
741,4008.5654,100.214134,0.21413422
744,4008.1084,100.20271,0.20271301
747,4001.0645,100.02661,0.026611328
750,4011.056,100.2764,0.2763977
753,4008.6187,100.21547,0.21546936
756,4009.0908,100.22727,0.22727203
759,4003.0034,100.07509,0.0750885
762,4013.0042,100.3251,0.32510376
765,4013.6174,100.34044,0.34043884
768,4008.6855,100.21714,0.2171402
771,4010.9805,100.27451,0.27451324
774,4004.4458,100.111145,0.11114502
777,4004.5603,100.114006,0.11400604
780,4007.7366,100.19341,0.19341278
783,4008.4744,100.21186,0.21186066
786,4018.8975,100.472435,0.472435
789,4007.7993,100.194984,0.19498444
792,4009.0066,100.22517,0.22516632
795,4008.9514,100.223785,0.2237854
798,4003.5588,100.08897,0.08896637
801,4002.485,100.062126,0.06212616
804,4016.025,100.40063,0.40062714
807,4017.7993,100.444984,0.44498444
810,4021.176,100.529396,0.52939606
813,4008.703,100.21757,0.21756744
816,4010.0134,100.250336,0.2503357
819,4000.9124,100.02281,0.02281189
822,4006.4902,100.162254,0.16225433
825,4013.1582,100.32896,0.3289566
828,4010.152,100.25381,0.25380707
831,4005.3716,100.13429,0.1342926
834,4009.7014,100.24254,0.24253845
837,4012.9966,100.32491,0.32491302
840,4003.9226,100.09806,0.09806061
843,4006.319,100.157974,0.15797424
846,4020.8267,100.52066,0.5206604
849,4019.3613,100.48403,0.48403168
852,4009.997,100.24993,0.24993134
855,4002.7368,100.06842,0.06842041
858,4017.319,100.432976,0.43297577
861,4001.006,100.025154,0.025154114
864,4003.9004,100.09751,0.09751129
867,4006.0688,100.15172,0.15171814
870,4015.6294,100.39073,0.3907318
873,4017.579,100.439476,0.439476
876,4019.1418,100.478546,0.47854614
879,4005.0095,100.12524,0.12523651
882,4016.6301,100.41575,0.4157486
885,4001.1292,100.02823,0.02822876
888,4016.4473,100.41118,0.4111786
891,4012.6956,100.31739,0.31739044
894,4013.6904,100.342255,0.34225464
897,4016.007,100.40018,0.400177
900,4021.4927,100.53732,0.537323
903,4015.5283,100.388214,0.3882141
906,4008.2468,100.20617,0.20616913
909,4010.271,100.256775,0.2567749
912,4014.1877,100.3547,0.35469818
915,4003.957,100.09892,0.09892273
918,4011.5935,100.28983,0.28983307
921,4024.7605,100.61902,0.61901855
924,4018.9146,100.47287,0.47286987
927,4007.7964,100.19491,0.19490814
930,4016.5166,100.41291,0.41291046
933,4016.3599,100.409,0.40899658
936,4016.6216,100.41554,0.4155426
939,4018.4915,100.46229,0.4622879
942,4017.617,100.44042,0.44042206
945,4024.776,100.6194,0.6194
948,4021.2632,100.53158,0.53157806
951,4022.085,100.552124,0.552124
954,4000.6448,100.01612,0.01612091
957,4022.8406,100.571014,0.5710144
960,4007.7458,100.19365,0.19364929
963,4009.8093,100.24523,0.24523163
966,4004.14,100.1035,0.103500366
969,4023.6338,100.59084,0.5908432
972,4025.0186,100.62546,0.62545776
975,4022.1672,100.55418,0.55417633
978,4024.542,100.61355,0.6135483
981,4011.533,100.28832,0.28832245
984,4016.416,100.4104,0.4104004
987,4021.573,100.53933,0.5393295
990,4010.3972,100.25993,0.25993347
993,4012.9387,100.32347,0.32347107
996,4002.0166,100.050415,0.05041504
999,4018.3179,100.45795,0.45794678
1002,4011.919,100.29797,0.29797363
1005,4006.4478,100.161194,0.16119385
1008,4014.538,100.36346,0.36345673
1011,4014.6582,100.366455,0.36645508
1014,4007.041,100.176025,0.17602539
1017,4002.7625,100.06906,0.06906128
1020,4009.1094,100.22774,0.22773743
1023,4012.508,100.312706,0.312706
1026,4000.3584,100.008965,0.008964539
1029,4003.5845,100.08961,0.08960724
1032,4020.7158,100.5179,0.51789856
1035,4028.035,100.700874,0.7008743
1038,4007.64,100.191,0.19100189
1041,4001.11,100.02775,0.027748108
1044,4017.8994,100.44749,0.44748688
1047,4025.2102,100.63026,0.63025665
1050,4006.785,100.169624,0.16962433
1053,4017.9668,100.44917,0.44917297
1056,4010.0437,100.25109,0.251091
1059,4018.3562,100.45891,0.45890808
1062,4025.5305,100.63827,0.6382675
1065,4013.673,100.34183,0.3418274
