Iteration,MeasuredDistance(m),Percent(%),PercentageAbs(%)
169,4004.3782,100.10944,0.10943259
170,4004.3757,100.10939,0.10930709
171,4004.4075,100.11014,0.110160835
172,4004.7441,100.11862,0.11858594
173,4004.3088,100.10773,0.10773673
174,4004.501,100.11258,0.112557665
175,4004.5315,100.11332,0.11330898
176,4004.534,100.113365,0.11341437
177,4004.7427,100.11861,0.11860503
178,4004.6372,100.11593,0.11594044
179,4004.6472,100.116165,0.116189584
180,4004.6118,100.11525,0.11532698
181,4004.6848,100.117256,0.11716066
182,4004.7676,100.11913,0.11921788
183,4004.6072,100.11517,0.115169995
184,4004.5413,100.11353,0.113577865
185,4004.9358,100.123405,0.123380415
186,4004.8494,100.12125,0.12124616
187,4004.8528,100.12131,0.12137244
188,4004.9224,100.12308,0.12308707
189,4004.8977,100.12241,0.12236469
190,4004.9587,100.123955,0.12397493
191,4005.0427,100.12605,0.1260938
192,4004.8484,100.121216,0.12124273
193,4005.0002,100.125046,0.12500218
194,4005.096,100.12733,0.12740403
195,4004.9497,100.1237,0.12371917
196,4005.0386,100.12591,0.12595154
197,4005.363,100.13414,0.13415198
198,4005.254,100.13126,0.13129056
199,4005.245,100.131096,0.13106896
200,4005.3086,100.13264,0.13262571
201,4005.1685,100.129135,0.12919779
202,4005.2395,100.13096,0.13099876
203,4005.2385,100.130875,0.13094762
204,4005.193,100.129814,0.12979805
205,4005.3948,100.13495,0.13487056
206,4005.372,100.134346,0.13438968
207,4005.3462,100.13361,0.13371125
208,4005.3364,100.13346,0.1334222
209,4005.4336,100.13591,0.13591336
210,4005.4966,100.137405,0.13739963
211,4005.4805,100.137024,0.137013
212,4005.4717,100.136734,0.1367748
213,4005.6208,100.14048,0.14052497
214,4005.5205,100.13801,0.13798665
215,4005.6086,100.140274,0.14031507
216,4005.6736,100.1418,0.14182168
217,4005.6924,100.14226,0.14230539
218,4005.539,100.13837,0.13842206
219,4005.6458,100.14109,0.14113104
220,4005.681,100.14202,0.14204937
221,4005.437,100.13588,0.13590375
222,4005.6128,100.1403,0.14029959
223,4005.7483,100.14371,0.14364
224,4005.7163,100.14294,0.14293924
225,4005.7363,100.14333,0.14333858
226,4005.8936,100.14742,0.14743182
227,4006.0325,100.150826,0.15074414
228,4006.0498,100.15118,0.15116516
229,4005.9517,100.14877,0.14879763
230,4006.151,100.15377,0.15376809
231,4005.9539,100.14889,0.14888382
232,4006.096,100.15236,0.15240143
233,4005.917,100.14794,0.14788513
234,4006.0247,100.15054,0.15059924
235,4006.1226,100.15295,0.15300009
236,4006.076,100.1518,0.1518551
237,4006.2913,100.15731,0.15728085
238,4006.2778,100.15699,0.15692843
239,4006.096,100.15237,0.15244898
240,4006.2505,100.1562,0.15623954
241,4006.2512,100.15634,0.15635605
242,4006.1145,100.15293,0.15289494
243,4006.261,100.15649,0.1564512
244,4006.2432,100.15603,0.15599926
245,4006.2717,100.15686,0.15684718
246,4006.3474,100.15855,0.15864441
247,4006.0815,100.15199,0.15198852
248,4006.589,100.164764,0.16475034
249,4006.4583,100.16147,0.16145776
250,4006.6306,100.16584,0.16582757
251,4006.3425,100.15854,0.15858658
252,4006.5803,100.16441,0.16445923
253,4006.5652,100.16424,0.16416357
254,4006.3608,100.15907,0.15907678
255,4006.4817,100.16201,0.16202049
256,4006.5762,100.1645,0.16444914
257,4006.635,100.16596,0.1659345
258,4006.9458,100.17356,0.1736088
259,4006.7349,100.16848,0.16843045
260,4006.8853,100.172104,0.17210391
261,4006.96,100.17391,0.17397916
262,4006.7563,100.16889,0.16896231
263,4006.7783,100.16942,0.16945383
264,4006.8518,100.17126,0.17119586
265,4007.0715,100.17685,0.1767713
266,4007.2173,100.180534,0.18049715
267,4006.9792,100.17456,0.17451803
268,4006.9543,100.17385,0.17383993
269,4007.043,100.17611,0.17606288
270,4006.7134,100.1678,0.16784294
271,4006.8782,100.17197,0.17197634
272,4007.3293,100.18332,0.18330023
273,4006.8982,100.17251,0.17254166
274,4007.1167,100.17794,0.17793685
275,4006.919,100.17306,0.17300211
276,4007.2468,100.18127,0.18122663
277,4007.2139,100.18037,0.18035537
278,4007.2024,100.18008,0.18006843
279,4007.3403,100.18347,0.18344744
280,4007.21,100.18024,0.1802353
281,4007.479,100.18689,0.18695368
282,4007.5332,100.18833,0.18839298
283,4007.5464,100.18866,0.18861759
284,4007.4004,100.185005,0.184967
285,4007.1943,100.179855,0.17987622
286,4007.5425,100.18854,0.18859906
287,4007.4414,100.18593,0.18604244
288,4007.4827,100.1871,0.18706466
289,4007.74,100.19341,0.19348171
290,4007.4438,100.1861,0.18612476
291,4007.7974,100.19493,0.19493255
292,4007.356,100.18383,0.1838791
293,4007.7869,100.194725,0.19473246
294,4007.5376,100.188385,0.18841247
295,4007.687,100.19219,0.19219503
296,4007.9304,100.19822,0.1982251
297,4007.3193,100.183014,0.18301715
298,4007.4214,100.18552,0.18546332
299,4007.7463,100.19359,0.19362338
300,4007.836,100.19588,0.19586194
301,4007.4846,100.18718,0.1871579
302,4007.6487,100.19124,0.19127557
303,4008.05,100.20129,0.20134099
304,4007.7432,100.19335,0.19350801
305,4008.2278,100.20568,0.20571719
306,4007.6333,100.19086,0.1908662
307,4007.8389,100.19593,0.19597684
308,4007.8054,100.19505,0.19508557
309,4007.9192,100.19804,0.19797108
310,4008.5078,100.21267,0.21272077
311,4008.1367,100.20343,0.20340003
312,4008.098,100.202484,0.20241997
313,4008.0908,100.20226,0.20223647
314,4008.242,100.20599,0.2060716
315,4008.0757,100.202,0.20192197
316,4008.2432,100.20602,0.20607872
317,4008.1946,100.204796,0.20482947
318,4008.0916,100.20237,0.20232604
319,4008.2627,100.206505,0.20657645
320,4008.234,100.205765,0.20580046
321,4008.3977,100.209885,0.20989189
322,4008.4363,100.21084,0.21085444
323,4008.2556,100.20642,0.20649017
324,4008.2922,100.20725,0.2072735
325,4008.339,100.20843,0.20847312
326,4008.321,100.20806,0.20805037
327,4008.5977,100.215,0.2149675
328,4008.8088,100.22028,0.22025016
329,4008.2615,100.2065,0.20646426
330,4008.4775,100.21201,0.21192622
331,4008.5632,100.214165,0.21406165
332,4008.8335,100.22089,0.2209335
333,4008.6687,100.21675,0.21674566
334,4008.5125,100.2128,0.21279188
335,4008.7437,100.21852,0.21857944
336,4008.8752,100.22188,0.22189401
337,4008.8323,100.22078,0.22079617
338,4008.6501,100.2162,0.21623129
339,4009.0312,100.225685,0.22577646
340,4008.772,100.21926,0.2193082
341,4008.4866,100.21224,0.2122092
342,4008.9111,100.22279,0.22284839
343,4009.138,100.22838,0.22837985
344,4009.0225,100.225624,0.22559208
345,4009.1003,100.22757,0.22754873
346,4009.0789,100.22698,0.22700779
347,4009.0686,100.22682,0.22675516
348,4009.0183,100.22538,0.2254707
349,4009.3464,100.2337,0.23369756
350,4008.973,100.22439,0.22437069
351,4009.055,100.2263,0.2263544
352,4008.809,100.22019,0.22019358
353,4008.9507,100.223755,0.22370669
354,4009.4001,100.23504,0.23499997
355,4009.2012,100.229996,0.23002179
356,4009.2378,100.23088,0.23092154
357,4009.2576,100.23131,0.23136218
358,4009.16,100.22893,0.22891644
359,4009.3667,100.23412,0.23416013
360,4009.427,100.2357,0.23569529
361,4009.4482,100.236145,0.23615907
362,4009.5361,100.238335,0.2383728
363,4009.675,100.2419,0.24188198
364,4009.4958,100.23735,0.23735844
365,4009.4812,100.237,0.2370107
366,4009.5857,100.23965,0.23964216
367,4009.137,100.22845,0.22843042
368,4009.628,100.24073,0.24070972
369,4009.4412,100.23595,0.23598345
370,4009.6516,100.241325,0.2413086
371,4009.5344,100.23849,0.23839135
372,4009.6506,100.24131,0.2412773
373,4009.4585,100.23641,0.23646472
374,4009.5938,100.23975,0.23979658
375,4009.5002,100.23756,0.23756185
376,4009.4631,100.23661,0.23659773
377,4010.0618,100.251595,0.25153065
378,4009.816,100.24547,0.24542312
379,4009.8193,100.24555,0.24550112
380,4010.0505,100.25133,0.25132906
381,4009.9182,100.247925,0.24795441
382,4009.793,100.2448,0.24486841
383,4009.6433,100.241165,0.24113604
384,4009.728,100.24321,0.24320099
385,4009.4683,100.23668,0.23665707
386,4009.8535,100.2462,0.246276
387,4009.8252,100.245514,0.24558413
388,4009.7522,100.24371,0.2437794
389,4009.9824,100.249596,0.24959867
390,4010.0845,100.252144,0.25210753
391,4009.89,100.247246,0.24726306
392,4010.1802,100.254585,0.25455606
393,4009.8958,100.24744,0.2474144
394,4009.8735,100.24682,0.24682282
395,4009.9685,100.24921,0.24919766
396,4010.3015,100.25755,0.2574737
397,4010.3247,100.25811,0.25813618
398,4010.2363,100.25592,0.2559332
399,4010.279,100.25692,0.25694254
400,4010.5708,100.264336,0.26432574
401,4010.1365,100.25336,0.25335243
402,4010.414,100.26039,0.26039213
403,4010.5244,100.26312,0.26316467
404,4010.303,100.257545,0.2575378
405,4010.7512,100.268776,0.26881096
406,4010.2354,100.25589,0.25582984
407,4010.5168,100.263,0.26292932
408,4010.37,100.25921,0.25920302
